title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Stay Close,1.0,1.0,,,TV Show,2021,2021.0
Archive 81,1.0,1.0,,,TV Show,2022,2022.0
In From the Cold,1.0,1.0,,,TV Show,2022,2022.0
Inventing Anna,1.0,1.0,,,TV Show,2022,2022.0
Pieces of Her,1.0,1.0,,,TV Show,2022,2022.0
Anatomy of a Scandal,1.0,1.0,,,TV Show,2022,2022.0
Blood Sisters,1.0,1.0,,,TV Show,2022,2022.0
Savage Beauty,1.0,1.0,,,TV Show,2022,2022.0
First Kill,1.0,1.0,Action,"United Kingdom, Canada, United States, United Kingdom","TV Show, Movie",2022,2022.0
Resident Evil,1.0,1.0,,,TV Show,2022,2022.0
Country Queen,1.0,1.0,,,TV Show,2022,2022.0
Keep Breathing,1.0,1.0,,,TV Show,2022,2022.0
Justice Served,1.0,1.0,,,TV Show,2022,2022.0
Echoes,1.0,1.0,,,TV Show,2022,2022.0
Lost Ollie,1.0,1.0,,,TV Show,2022,2022.0
Partner Track,1.0,1.0,,,TV Show,2022,2022.0
Devil in Ohio,1.0,1.0,,,TV Show,2022,2022.0
The Imperfects,1.0,1.0,,,TV Show,2022,2022.0
Dahmer Ã¢ÂÂ Monster: The Jeffrey Dahmer Story,1.0,1.0,,,TV Show,2022,2022.0
The Midnight Club,1.0,1.0,,,TV Show,2022,2022.0
From Scratch,1.0,1.0,,,TV Show,2022,2022.0
Guillermo del Toro's Cabinet of Curiosities,1.0,0.0,,,TV Show,2022,2022.0
The Bastard Son & The Devil Himself,1.0,1.0,,,TV Show,2022,2022.0
1899,1.0,1.0,,,TV Show,2022,2022.0
The Witcher: Blood Origin,1.0,1.0,,,TV Show,2022,2022.0
Treason,1.0,1.0,,,TV Show,2022,2022.0
Kaleidoscope,1.0,1.0,Thrillers,United Kingdom,"TV Show, Movie",2023,2023.0
Lockwood & Co.,1.0,1.0,,,TV Show,2023,2023.0
Transatlantic,1.0,1.0,,,TV Show,2023,2023.0
Florida Man,1.0,1.0,,,TV Show,2023,2023.0
Obsession,1.0,1.0,,,TV Show,2023,2023.0
Queen Charlotte: A Bridgerton Story,1.0,1.0,,,TV Show,2023,2023.0
Painkiller,1.0,1.0,,,TV Show,2023,2023.0
Who Is Erin Carter?,1.0,1.0,,,TV Show,2023,2023.0
Unbreakable Kimmy Schmidt,4.0,0.0,TV Comedies,United States,TV Show,2015,2020.0
Grace and Frankie,7.0,0.0,TV Comedies,United States,TV Show,2015,2022.0
Wet Hot American Summer: First Day of Camp,1.0,1.0,,,TV Show,2015,2015.0
Master of None,3.0,0.0,TV Comedies,United States,TV Show,2015,2021.0
W/ Bob & David,1.0,1.0,TV Comedies,United States,TV Show,2015,2015.0
Real Rob,2.0,0.0,TV Comedies,United States,TV Show,2015,2017.0
Love,3.0,0.0,Romantic TV,"India, United States","TV Show, Movie",2016,2018.0
Flaked,2.0,0.0,TV Comedies,United States,TV Show,2016,2017.0
Netflix Presents: The Characters,1.0,1.0,TV Comedies,United States,TV Show,2016,2016.0
The Ranch,8.0,0.0,TV Comedies,United States,TV Show,2016,2020.0
Lady Dynamite,2.0,0.0,TV Comedies,United States,TV Show,2016,2017.0
Easy,3.0,0.0,TV Comedies,United States,TV Show,2016,2019.0
Trailer Park Boys Out of the Park: Europe,1.0,1.0,,,TV Show,2016,2016.0
Santa Clarita Diet,3.0,0.0,TV Comedies,United States,TV Show,2017,2019.0
Girlboss,1.0,1.0,TV Comedies,United States,TV Show,2017,2017.0
Dear White People,4.0,0.0,TV Comedies,United States,TV Show,2017,2021.0
GLOW,3.0,0.0,TV Comedies,United States,TV Show,2017,2019.0
Friends from College,2.0,0.0,Romantic TV,United States,TV Show,2017,2019.0
Wet Hot American Summer: Ten Years Later,1.0,1.0,TV Comedies,United States,TV Show,2017,2017.0
Atypical,4.0,0.0,TV Comedies,United States,TV Show,2017,2021.0
Disjointed,2.0,0.0,TV Comedies,United States,TV Show,2017,2018.0
American Vandal,2.0,0.0,Crime TV,United States,TV Show,2017,2018.0
She's Gotta Have It,2.0,0.0,Romantic TV,United States,TV Show,2017,2019.0
Trailer Park Boys Out of the Park: USA,1.0,1.0,,,TV Show,2017,2017.0
Everything Sucks!,1.0,1.0,TV Comedies,United States,TV Show,2018,2018.0
On My Block,4.0,0.0,Romantic TV,United States,TV Show,2018,2021.0
Insatiable,2.0,0.0,TV Comedies,United States,TV Show,2018,2019.0
Maniac,1.0,1.0,TV Comedies,United States,TV Show,2018,2018.0
The Good Cop,1.0,1.0,Crime TV,United States,TV Show,2018,2018.0
The Kominsky Method,3.0,0.0,TV Comedies,United States,TV Show,2018,2021.0
Russian Doll,2.0,0.0,TV Comedies,United States,TV Show,2019,2022.0
After Life,3.0,0.0,British TV,United Kingdom,TV Show,2019,2022.0
