Title,Seasons,Cancelled,Genre,Country,Type,Premiere Year,Finale Year
Dirty Lines,1,1,TV Dramas,NA,TV Show,2022,2022
Marseille,2,0,International TV,France,TV Show,2016,2018
The Hook Up Plan,3,0,International TV,France,TV Show,2018,2022
Osmosis,1,1,International TV,France,TV Show,2019,2019
Family Business,3,0,International TV,France,TV Show,2019,2021
Marianne,1,1,International TV,France,TV Show,2019,2019
Criminal: France,1,1,Crime TV,NA,TV Show,2019,2019
Vampires,1,1,International TV,France,TV Show,2020,2020
Mortel,2,0,Crime TV,France,TV Show,2019,2021
Into the Night,2,0,International TV,Belgium,TV Show,2020,2021
La RÃÂ©volution,1,1,International TV,France,TV Show,2020,2020
Dealer,1,1,TV Dramas,France,TV Show,2021,2021
Gone for Good,1,1,Thriller,France,TV Show,2021,2021
Christmas Flow,1,1,TV Comedy,NA,TV Show,2021,2021
Standing Up,1,1,TV Comedy,NA,TV Show,2022,2022
The 7 Lives of Lea,1,1,TV Action,NA,TV Show,2022,2022
Off the Hook,1,1,TV Comedy,NA,TV Show,2022,2022
Notre-Dame,1,1,TV Dramas,NA,TV Show,2022,2022
Dark,3,0,Crime TV,"Germany, United States, Germany",TV Show,2017,2020
Dogs of Berlin,1,1,Crime TV,Germany,TV Show,2018,2018
How to Sell Drugs Online (Fast),3,0,Crime TV,Germany,TV Show,2019,2021
Criminal: Germany,1,1,Crime TV,Germany,TV Show,2019,2019
Skylines,1,1,Crime TV,"United Kingdom, United States, Germany","TV Show, Movie",2019,2019
We Are the Wave,1,1,International TV,Germany,TV Show,2019,2019
Holiday Secrets,1,1,International TV,Germany,TV Show,2019,2019
Biohackers,2,0,International TV,Germany,TV Show,2020,2021
The Last Word,1,1,International TV,Germany,TV Show,2020,2020
Barbarians,2,0,International TV,Germany,TV Show,2020,2022
Over Christmas,1,1,International TV,Germany,TV Show,2020,2020
Tribes of Europa,1,1,TV Action,Germany,TV Show,2021,2021
The Billion Dollar Code,1,1,Thriller,NA,TV Show,2021,2021
Life's a Glitch with Julien Bam,1,1,TV Comedy,NA,TV Show,2021,2021
Kitz,1,1,TV Dramas,NA,TV Show,2021,2021
King of Stonks,1,1,TV Comedy,NA,TV Show,2022,2022
Sleeping Dog,1,1,Crime TV,NA,TV Show,2023,2023
Sacred Games,2,0,Crime TV,"India, United States, India",TV Show,2018,2019
Ghoul,1,1,Horror,NA,TV Show,2018,2018
Selection Day,1,0,International TV,India,TV Show,2018,2019
Leila,1,1,International TV,India,TV Show,2019,2019
Typewriter,1,1,International TV,India,TV Show,2019,2019
Bard of Blood,1,1,International TV,India,TV Show,2019,2019
Jamtara Ã¢ÂÂ Sabka Number Ayega,2,0,Crime TV,NA,TV Show,2020,2022
Taj Mahal 1989,1,1,International TV,India,TV Show,2020,2020
Hasmukh,1,1,Crime TV,India,TV Show,2020,2020
Betaal,1,1,International TV,India,TV Show,2020,2020
Masaba Masaba,2,0,International TV,India,TV Show,2020,2022
Bhaag Beanie Bhaag,1,1,International TV,India,TV Show,2020,2020
Bombay Begums,1,1,TV Dramas,India,TV Show,2021,2021
Ray,1,1,TV Dramas,NA,TV Show,2021,2021
Feels Like Ishq,1,1,TV Dramas,NA,TV Show,2021,2021
Call My Agent: Bollywood,1,1,TV Dramas,NA,TV Show,2021,2021
Aranyak,1,1,Thriller,NA,TV Show,2021,2021
The Fame Game,1,1,TV Dramas,NA,TV Show,2022,2022
Mai: A Mother's Rage,1,1,Thriller,NA,TV Show,2022,2022
Katla,1,1,TV Action,Iceland,TV Show,2021,2021
Suburra: Blood on Rome,3,0,Crime TV,Italy,TV Show,2017,2020
Baby,3,0,International TV,Italy,TV Show,2018,2020
Luna Nera,1,1,International TV,Italy,TV Show,2020,2020
Summertime,3,0,International TV,Italy,TV Show,2020,2022
Curon,1,1,International TV,Italy,TV Show,2020,2020
Zero,1,1,Comedies,"Italy, India",TV Show,2021,2021
Generation 56K,1,1,TV Comedy,NA,TV Show,2021,2021
Luna Park,1,1,TV Dramas,NA,TV Show,2021,2021
An Astrological Guide for Broken Hearts,2,0,TV Comedy,NA,TV Show,2021,2022
Framed! A Sicilian Murder Mystery,2,0,TV Comedy,NA,TV Show,2022,2023
"Devotion, a Story of Love and Desire",1,1,TV Dramas,NA,TV Show,2022,2022
Hibana: Spark,1,1,International TV,Japan,TV Show,2016,2016
Midnight Diner: Tokyo Stories,2,0,International TV,Japan,TV Show,2016,2019
Samurai Gourmet,1,1,International TV,Japan,TV Show,2017,2017
Blazing Transfer Students,1,1,International TV,Japan,TV Show,2017,2017
Erased,1,1,Anime Series,Japan,TV Show,2017,2017
Jimmy: The True Story of a True Idiot,1,1,International TV,Japan,TV Show,2018,2018
Switched,1,1,International TV,Japan,TV Show,2018,2018
The Naked Director,2,0,International TV,Japan,TV Show,2019,2021
Followers,1,1,International TV,Japan,TV Show,2020,2020
The Forest of Love: Deep Cut,1,1,Crime TV,Japan,TV Show,2020,2020
Ju-On: Origins,1,1,Horror,NA,TV Show,2020,2020
Creator's File: Gold,1,1,Mockumentary,NA,TV Show,2021,2021
The Journalist,1,1,TV Dramas,NA,TV Show,2022,2022
Fishbowl Wives,1,1,TV Dramas,NA,TV Show,2022,2022
My Only Love Song,1,1,International TV,South Korea,TV Show,2017,2017
YG Future Strategy Office,1,1,International TV,South Korea,TV Show,2018,2018
Kingdom,2,0,TV Dramas,"South Korea, United States, United States",TV Show,2019,2020
Persona,1,1,International TV,South Korea,TV Show,2019,2019
My First First Love,2,0,International TV,South Korea,TV Show,2019,2019
Love Alarm,2,0,International TV,South Korea,TV Show,2019,2021
My Holo Love,1,1,International TV,NA,TV Show,2020,2020
Extracurricular,1,1,Crime TV,South Korea,TV Show,2020,2020
The School Nurse Files,1,1,International TV,South Korea,TV Show,2020,2020
Move to Heaven,1,1,TV Dramas,South Korea,TV Show,2021,2021
So Not Worth It,1,1,TV Comedy,NA,TV Show,2021,2021
My Name,1,1,Thriller,NA,TV Show,2021,2021
The Silent Sea,1,1,Thriller,NA,TV Show,2021,2021
Juvenile Justice,1,1,TV Dramas,NA,TV Show,2022,2022
The Sound of Magic,1,1,TV Dramas,NA,TV Show,2022,2022
Remarriage & Desires,1,1,TV Dramas,NA,TV Show,2022,2022
A Model Family,1,1,Thriller,NA,TV Show,2022,2022
Narco-Saints,1,1,Crime TV,NA,TV Show,2022,2022
Glitch,1,1,International TV,Australia,TV Show,2022,2022
Nowhere Man,1,1,Crime TV,Taiwan,TV Show,2019,2019
Triad Princess,1,1,Crime TV,NA,TV Show,2019,2019
The Ghost Bride,1,1,International TV,"Taiwan, Malaysia, Taiwan",TV Show,2020,2020
More than Blue: The Series,1,1,TV Dramas,NA,TV Show,2021,2021
Light the Night,3,0,Thriller,NA,TV Show,2021,2022
"Mom, Don't Do That!",1,1,TV Dramas,NA,TV Show,2022,2022
Shards of Her,1,1,Thriller,NA,TV Show,2022,2022
Home for Christmas,2,0,International TV,Norway,TV Show,2019,2020
Ragnarok,3,0,International TV,"Norway, Denmark, Norway",TV Show,2020,2023
Bloodride,1,1,International TV,Norway,TV Show,2020,2020
Post Mortem: No One Dies in Skarnes,1,1,TV Action,NA,TV Show,2021,2021
The LÃÂ¸renskog Disappearance,1,1,Crime TV,NA,TV Show,2022,2022
A Storm for Christmas,1,1,TV Comedy,NA,TV Show,2022,2022
1983,1,1,Crime TV,"Poland, United States, Poland",TV Show,2018,2018
The Woods,1,1,Crime TV,"Poland, United States, Poland",TV Show,2020,2020
Open Your Eyes,1,1,Thriller,NA,TV Show,2021,2021
Hold Tight,1,1,Thriller,NA,TV Show,2022,2022
Cracow Monsters,1,1,TV Dramas,NA,TV Show,2022,2022
Queen,1,1,Comedies,India,"TV Show, Movie",2022,2022
Family Secrets,1,1,TV Comedy,NA,TV Show,2022,2022
High Water,1,1,TV Dramas,NA,TV Show,2022,2022
Dead End,1,1,TV Comedy,NA,TV Show,2022,2022
Glitter,1,1,TV Dramas,NA,TV Show,2022,2022
3%,4,0,International TV,Brazil,TV Show,2016,2020
The Mechanism,2,0,Crime TV,Brazil,TV Show,2018,2019
Samantha!,2,0,International TV,Brazil,TV Show,2018,2019
Girls from Ipanema,2,0,TV Dramas,NA,TV Show,2019,2020
The Chosen One,2,0,International TV,Brazil,TV Show,2019,2019
Brotherhood,2,0,Crime TV,Brazil,TV Show,2019,2022
Nobody's Looking,1,1,International TV,Brazil,TV Show,2019,2019
Omniscient,1,1,International TV,Brazil,TV Show,2020,2020
Reality Z,1,1,International TV,Brazil,TV Show,2020,2020
Kissing Game,1,1,International TV,Brazil,TV Show,2020,2020
GlÃÂ³ria,1,1,Thriller,NA,TV Show,2021,2021
Summer Heat,1,1,TV Dramas,NA,TV Show,2022,2022
Maldivas,1,1,TV Comedy,NA,TV Show,2022,2022
Unsuspicious,1,1,TV Comedy,NA,TV Show,2022,2022
Only for Love,1,1,TV Dramas,NA,TV Show,2022,2022
Time Hustler,1,1,TV Comedy,NA,TV Show,2022,2022
Lady Voyeur,1,1,Thriller,NA,TV Show,2023,2023
The Endless Night,1,1,TV Dramas,NA,TV Show,2023,2023
Club de Cuervos,4,0,TV Comedy,NA,TV Show,2015,2019
Ingobernable,2,0,Crime TV,Mexico,TV Show,2017,2018
Cable Girls,5,0,International TV,Spain,TV Show,2017,2020
Edha,1,1,International TV,Argentina,TV Show,2018,2018
Club de Cuervos Presents: The Ballad of Hugo SÃÂ¡nchez,1,1,International TV,United States,TV Show,2018,2018
The House of Flowers,3,0,International TV,Mexico,TV Show,2018,2020
Diablero,2,0,International TV,Mexico,TV Show,2018,2020
Always a Witch,2,0,International TV,Colombia,TV Show,2019,2020
Crime Diaries: The Candidate,1,1,Crime TV,Mexico,TV Show,2019,2019
Crime Diaries: Night Out,1,1,Crime TV,Mexico,TV Show,2019,2019
High Seas,3,0,Crime TV,Spain,TV Show,2019,2020
Yankee,1,1,Crime TV,Mexico,TV Show,2019,2019
Green Frontier,1,1,Crime TV,Colombia,TV Show,2019,2019
Monarca,2,0,International TV,Mexico,TV Show,2019,2021
Criminal: Spain,1,1,Crime TV,Spain,TV Show,2019,2019
Hache,2,0,Crime TV,Spain,TV Show,2019,2021
The Club,1,1,Crime TV,Mexico,TV Show,2019,2019
Three Days of Christmas,1,1,International TV,Spain,TV Show,2019,2019
The Neighbor,2,0,International TV,Spain,TV Show,2019,2021
Puerta 7,1,1,Crime TV,Argentina,TV Show,2020,2020
Unstoppable,1,1,International TV,Mexico,TV Show,2020,2020
Almost Happy,2,0,International TV,Argentina,TV Show,2020,2022
Valeria,3,0,International TV,Spain,TV Show,2020,2023
The Unremarkable Juanquini,2,0,International TV,NA,TV Show,2020,2021
Control Z,3,0,International TV,Mexico,TV Show,2020,2022
The Search,1,1,Crime TV,Mexico,TV Show,2020,2020
Dark Desire,2,0,Crime TV,Mexico,TV Show,2020,2022
The Great Heist,1,1,Crime TV,Colombia,TV Show,2020,2020
Someone Has to Die,1,1,Crime TV,"Mexico, Spain, Mexico",TV Show,2020,2020
The Minions of Midas,1,1,Crime TV,Spain,TV Show,2020,2020
The Mess You Leave Behind,1,1,International TV,Spain,TV Show,2020,2020
Sky Rojo,3,0,TV Dramas,Spain,TV Show,2021,2023
Who Killed Sara?,3,0,Crime TV,Mexico,TV Show,2021,2022
The Innocent,1,1,Thriller,NA,TV Show,2021,2021
Somos.,1,1,TV Dramas,Mexico,TV Show,2021,2021
The War Next-door,2,0,TV Comedy,NA,TV Show,2021,2022
The Kingdom,2,0,Crime TV,Argentina,TV Show,2021,2023
Everything Will Be Fine,1,1,TV Dramas,NA,TV Show,2021,2021
Jaguar,1,1,TV Dramas,NA,TV Show,2021,2021
The Five Juanas,1,1,TV Comedy,NA,TV Show,2021,2021
The Time It Takes,1,1,TV Dramas,NA,TV Show,2021,2021
Rebelde,2,0,International TV,Mexico,TV Show,2022,2022
Savage Rhythm,1,1,TV Dramas,NA,TV Show,2022,2022
Once Upon a Time... Happily Never After,1,1,TV Comedy,NA,TV Show,2022,2022
